Category,Product,Price,Storage_GB,Color,Chip,Spec_Text
Mac,Macbook Air,340000,8,Midnight,Unknown,Macbook Air Unknown 8GB Midnight
Mac,Macbook Air,340000,8,Starlight,Unknown,Macbook Air Unknown 8GB Starlight
Mac,Macbook Air,340000,8,Space Gray,Unknown,Macbook Air Unknown 8GB Space Gray
Mac,Macbook Air,340000,8,Silver,Unknown,Macbook Air Unknown 8GB Silver
Mac,Macbook Air,385999,8,Midnight,Unknown,Macbook Air Unknown 8GB Midnight
Mac,Macbook Air,385999,8,Starlight,Unknown,Macbook Air Unknown 8GB Starlight
Mac,Macbook Air,385999,8,Space Gray,Unknown,Macbook Air Unknown 8GB Space Gray
Mac,Macbook Air,385999,8,Silver,Unknown,Macbook Air Unknown 8GB Silver
Mac,Macbook Air,359999,8,Midnight,Unknown,Macbook Air Unknown 8GB Midnight
Mac,Macbook Air,359999,8,Starlight,Unknown,Macbook Air Unknown 8GB Starlight
Mac,Macbook Air,359999,8,Space Gray,Unknown,Macbook Air Unknown 8GB Space Gray
Mac,Macbook Air,359999,8,Silver,Unknown,Macbook Air Unknown 8GB Silver
Mac,Macbook Air,409999,8,Midnight,Unknown,Macbook Air Unknown 8GB Midnight
Mac,Macbook Air,409999,8,Starlight,Unknown,Macbook Air Unknown 8GB Starlight
Mac,Macbook Air,409999,8,Space Gray,Unknown,Macbook Air Unknown 8GB Space Gray
Mac,Macbook Air,409999,8,Silver,Unknown,Macbook Air Unknown 8GB Silver
Mac,Macbook Air,439999,8,Midnight,Unknown,Macbook Air Unknown 8GB Midnight
Mac,Macbook Air,439999,8,Starlight,Unknown,Macbook Air Unknown 8GB Starlight
Mac,Macbook Air,439999,8,Space Gray,Unknown,Macbook Air Unknown 8GB Space Gray
Mac,Macbook Air,439999,8,Silver,Unknown,Macbook Air Unknown 8GB Silver
Mac,Macbook Air,489999,8,Midnight,Unknown,Macbook Air Unknown 8GB Midnight
Mac,Macbook Air,489999,8,Starlight,Unknown,Macbook Air Unknown 8GB Starlight
Mac,Macbook Air,489999,8,Space Gray,Unknown,Macbook Air Unknown 8GB Space Gray
Mac,Macbook Air,489999,8,Silver,Unknown,Macbook Air Unknown 8GB Silver
iPhone,iPhone 16,294999,128,Unknown,Unknown,iPhone 16 Unknown 128GB Unknown
iPhone,iPhone 16,409999,512,Unknown,Unknown,iPhone 16 Unknown 512GB Unknown
iPhone,iPhone 16,404999,256,Unknown,Unknown,iPhone 16 Unknown 256GB Unknown
iPhone,iPhone 16,389999,256,Unknown,Unknown,iPhone 16 Unknown 256GB Unknown
iPhone,iPhone 16,289999,256,Unknown,Unknown,iPhone 16 Unknown 256GB Unknown
iPhone,iPhone 16,359999,128,Unknown,Unknown,iPhone 16 Unknown 128GB Unknown
iPhone,iPhone 16,349999,128,Unknown,Unknown,iPhone 16 Unknown 128GB Unknown
iPhone,iPhone 16,259999,128,Unknown,Unknown,iPhone 16 Unknown 128GB Unknown
iPhone,iPhone 16 Pro,429999,256,Unknown,Unknown,iPhone 16 Pro Unknown 256GB Unknown
iPhone,iPhone 16 Pro,349999,128,Unknown,Unknown,iPhone 16 Pro Unknown 128GB Unknown
iPhone,iPhone 16 Pro,629999,1024,Unknown,Unknown,iPhone 16 Pro Unknown 1024GB Unknown
iPhone,iPhone 16 Pro,539999,1024,Unknown,Unknown,iPhone 16 Pro Unknown 1024GB Unknown
